booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-006106,Resort Hotel,0,224,2024,May,21,25,2024-05-25,1,4,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,,223.0,0,Transient-Party,66.0,0,0
HB-115190,City Hotel,0,237,2025,July,27,1,2025-07-01,1,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,1
HB-079037,City Hotel,0,0,2023,October,42,20,2023-10-20,0,1,1,0.0,0,BB,IRQ,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,139.0,0,0
HB-116158,City Hotel,0,172,2025,July,28,10,2025-07-10,1,5,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,152.1,0,2
HB-098836,City Hotel,0,213,2024,October,40,1,2024-10-01,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,102.85,0,2
HB-108611,City Hotel,0,73,2025,March,13,27,2025-03-27,1,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,83.16,0,1
HB-098882,City Hotel,0,349,2024,October,40,4,2024-10-04,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,58.0,,162,Transient-Party,130.0,0,0
HB-004606,Resort Hotel,1,106,2024,March,12,24,2024-03-24,1,3,2,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,68.0,,0,Transient,84.0,0,0
HB-000289,Resort Hotel,0,33,2023,July,28,11,2023-07-11,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,89.97,0,1
HB-029560,Resort Hotel,0,33,2024,October,43,27,2024-10-27,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,80.5,1,0
HB-078755,City Hotel,0,12,2023,October,41,12,2023-10-12,1,3,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,2,No Deposit,95.0,,0,Transient-Party,100.0,0,0
HB-016185,Resort Hotel,0,32,2023,August,33,16,2023-08-16,1,0,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,153.0,0,1
HB-044339,City Hotel,0,61,2023,October,40,4,2023-10-04,2,0,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,0,Transient-Party,91.0,0,0
HB-035887,Resort Hotel,0,104,2025,May,18,3,2025-05-03,0,1,2,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Transient,62.0,0,0
HB-063086,City Hotel,1,19,2025,January,5,30,2025-01-30,1,1,2,0.0,0,SC,AGO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,1
HB-034077,Resort Hotel,0,8,2025,March,11,10,2025-03-10,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,65.0,0,0
HB-019259,Resort Hotel,0,1,2023,December,49,9,2023-12-09,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,69.0,1,0
HB-086543,City Hotel,0,6,2024,April,14,1,2024-04-01,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,95.0,0,0
HB-001325,Resort Hotel,1,25,2023,August,34,24,2023-08-24,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,171.9,0,1
HB-035801,Resort Hotel,0,100,2025,April,18,29,2025-04-29,2,1,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,385.0,,0,Transient-Party,83.0,0,1
HB-066951,City Hotel,1,110,2025,April,17,26,2025-04-26,1,4,2,0.0,0,SC,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,100.8,0,0
HB-015440,Resort Hotel,0,237,2023,July,28,13,2023-07-13,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,169.0,0,1
HB-010495,Resort Hotel,1,14,2025,March,11,10,2025-03-10,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,2
HB-084653,City Hotel,0,115,2024,February,9,27,2024-02-27,2,2,1,0.0,0,BB,MOZ,Offline TA/TO,TA/TO,0,0,0,A,E,1,No Deposit,134.0,,0,Transient-Party,76.0,0,1
HB-053289,City Hotel,1,350,2024,June,25,17,2024-06-17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,140.0,0,0
HB-068939,City Hotel,1,216,2025,May,21,23,2025-05-23,0,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,1
HB-100220,City Hotel,0,386,2024,October,43,23,2024-10-23,2,0,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1
HB-067487,City Hotel,1,143,2025,May,18,4,2025-05-04,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,56.0,,0,Transient,110.0,0,0
HB-116752,City Hotel,0,423,2025,July,30,22,2025-07-22,1,1,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,95.5,0,0
HB-111881,City Hotel,0,221,2025,May,20,15,2025-05-15,1,1,2,0.0,0,BB,MEX,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Transient,99.0,0,0
HB-104074,City Hotel,0,33,2025,January,1,4,2025-01-04,0,1,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,1
HB-065689,City Hotel,1,69,2025,April,14,6,2025-04-06,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,197.0,0,Transient,85.0,0,0
HB-019355,Resort Hotel,0,1,2024,December,50,13,2024-12-13,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,240.0,,0,Transient,43.0,0,1
HB-105474,City Hotel,0,17,2025,February,6,5,2025-02-05,2,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0
HB-108278,City Hotel,0,91,2025,March,13,24,2025-03-24,0,1,2,0.0,0,SC,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,63.0,0,1
HB-068460,City Hotel,1,10,2025,May,20,18,2025-05-18,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,160.0,0,1
HB-117459,City Hotel,0,69,2025,August,31,1,2025-08-01,0,3,2,1.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,150.0,0,2
HB-029929,Resort Hotel,0,73,2024,November,45,4,2024-11-04,2,4,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,48.47,0,0
HB-093868,City Hotel,0,83,2024,July,30,25,2024-07-25,1,2,2,1.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,117.1,1,0
HB-003265,Resort Hotel,1,88,2023,November,48,28,2023-11-28,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,32.4,0,0
HB-000065,Resort Hotel,1,3,2023,July,26,2,2023-07-02,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,136.33,0,2
HB-057962,City Hotel,1,184,2024,October,40,4,2024-10-04,0,3,1,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,101.05,0,0
HB-071162,City Hotel,1,103,2025,June,26,28,2025-06-28,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0
HB-050648,City Hotel,1,302,2024,May,18,5,2024-05-05,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-012629,Resort Hotel,1,8,2025,July,28,9,2025-07-09,1,0,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,210.0,0,0
HB-108487,City Hotel,0,206,2025,March,13,26,2025-03-26,2,1,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,1,No Deposit,296.0,,0,Transient-Party,72.0,0,0
HB-083304,City Hotel,0,5,2025,February,9,28,2025-02-28,0,3,1,0.0,0,BB,FRA,Corporate,Corporate,1,0,1,A,A,3,No Deposit,,91.0,0,Transient,80.0,0,1
HB-028035,Resort Hotel,0,9,2024,September,38,18,2024-09-18,1,0,1,0.0,0,BB,GBR,Groups,Corporate,0,0,0,E,C,0,No Deposit,223.0,,0,Transient-Party,96.0,0,0
HB-025902,Resort Hotel,0,1,2024,July,28,14,2024-07-14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,I,0,No Deposit,,424.0,0,Transient,126.0,1,0
HB-093399,City Hotel,0,4,2024,July,29,20,2024-07-20,0,1,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,E,B,1,No Deposit,14.0,,0,Transient,156.95,0,0
HB-080815,City Hotel,0,6,2023,November,47,22,2023-11-22,2,1,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,27.0,,0,Transient,37.33,0,0
HB-029167,Resort Hotel,0,0,2024,October,43,21,2024-10-21,0,1,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,I,0,No Deposit,241.0,,0,Transient,52.36,0,1
HB-027195,Resort Hotel,0,103,2024,August,34,19,2024-08-19,1,2,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,189.42,0,1
HB-112448,City Hotel,0,87,2025,May,21,22,2025-05-22,1,1,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,475.0,,0,Transient-Party,126.0,0,0
HB-082002,City Hotel,1,115,2024,March,12,20,2024-03-20,2,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,41.0,,22,Transient,70.0,0,0
HB-100700,City Hotel,0,240,2024,October,43,27,2024-10-27,1,3,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient-Party,90.95,0,2
HB-062912,City Hotel,1,61,2025,January,4,25,2025-01-25,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,326.0,,0,Transient,80.0,0,0
HB-044298,City Hotel,0,86,2023,October,40,3,2023-10-03,2,1,1,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,63.0,0,0
HB-019731,Resort Hotel,0,112,2023,December,52,30,2023-12-30,0,3,2,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,224.67,0,0
HB-027897,Resort Hotel,0,30,2024,September,37,12,2024-09-12,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,153.0,1,1
HB-115157,City Hotel,0,3,2025,July,27,1,2025-07-01,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,170.0,0,1
HB-051716,City Hotel,1,158,2024,May,21,24,2024-05-24,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,31,Transient,130.0,0,0
HB-051806,City Hotel,1,323,2024,May,21,26,2024-05-26,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-064128,City Hotel,1,28,2025,March,9,2,2025-03-02,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,95.0,0,0
HB-090082,City Hotel,0,0,2024,May,22,30,2024-05-30,1,2,1,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,119.33,0,1
HB-103339,City Hotel,0,45,2024,December,51,18,2024-12-18,2,0,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0
HB-008791,Resort Hotel,1,249,2024,October,42,14,2024-10-14,2,5,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,273.0,,0,Transient-Party,60.36,0,0
HB-042329,City Hotel,0,10,2023,September,36,5,2023-09-05,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Group,85.0,0,1
HB-071894,City Hotel,1,315,2025,July,29,15,2025-07-15,1,1,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.9,0,0
HB-032121,Resort Hotel,0,41,2025,January,3,17,2025-01-17,0,0,1,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient-Party,0.0,0,0
HB-047941,City Hotel,1,47,2024,March,10,10,2024-03-10,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,91.8,0,0
HB-030043,Resort Hotel,0,43,2024,November,45,8,2024-11-08,0,4,2,0.0,0,BB,LVA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,46.8,0,2
HB-006255,Resort Hotel,1,63,2024,May,22,31,2024-05-31,0,5,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,105.8,0,1
HB-089068,City Hotel,0,31,2024,May,19,10,2024-05-10,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.4,0,0
HB-101514,City Hotel,0,9,2024,November,46,11,2024-11-11,0,2,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,1,3
HB-070972,City Hotel,1,29,2025,June,26,26,2025-06-26,1,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7.0,,0,Transient,226.84,0,1
HB-087616,City Hotel,0,54,2024,April,16,20,2024-04-20,0,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,9.0,,0,Transient,130.05,0,0
HB-087619,City Hotel,0,69,2024,April,16,21,2024-04-21,0,2,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,G,0,No Deposit,9.0,,0,Transient,137.7,0,2
HB-027998,Resort Hotel,0,0,2024,September,38,17,2024-09-17,0,1,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,146.0,0,0
HB-031748,Resort Hotel,0,1,2024,March,10,7,2024-03-07,1,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,5,A,D,0,No Deposit,240.0,,0,Transient,48.0,0,1
HB-051338,City Hotel,0,148,2024,May,20,18,2024-05-18,0,4,2,1.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,108.19,0,2
HB-113269,City Hotel,0,212,2025,June,23,2,2025-06-02,1,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,20.0,,0,Transient-Party,106.17,0,0
HB-026613,Resort Hotel,0,152,2024,August,31,1,2024-08-01,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,172.0,0,2
HB-072160,City Hotel,1,122,2025,July,30,22,2025-07-22,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,139.5,0,0
HB-069090,City Hotel,1,240,2025,May,21,25,2025-05-25,0,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,138.6,0,1
HB-113912,City Hotel,0,15,2025,June,24,13,2025-06-13,0,1,2,0.0,0,SC,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,89.0,0,0
HB-035478,Resort Hotel,0,63,2025,April,16,20,2025-04-20,1,3,1,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,3,No Deposit,,307.0,0,Transient-Party,90.0,0,0
HB-060111,City Hotel,1,95,2024,November,45,5,2024-11-05,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,75.0,0,0
HB-064172,City Hotel,1,28,2025,March,9,2,2025-03-02,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,95.0,0,0
HB-105380,City Hotel,0,66,2025,February,6,3,2025-02-03,1,2,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,1
HB-089957,City Hotel,0,16,2024,May,22,29,2024-05-29,2,0,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,109.0,0,0
HB-075389,City Hotel,1,323,2023,September,36,5,2023-09-05,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0
HB-022854,Resort Hotel,0,1,2024,April,14,6,2024-04-06,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,54.86,0,0
HB-055834,City Hotel,1,139,2024,August,34,22,2024-08-22,1,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,103.05,0,0
HB-097039,City Hotel,0,30,2024,September,37,11,2024-09-11,1,0,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9.0,,0,Transient,149.4,0,1
HB-106981,City Hotel,0,11,2025,March,10,6,2025-03-06,1,4,2,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,,0,Transient,102.0,0,0
HB-042351,City Hotel,1,65,2023,September,36,5,2023-09-05,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0
HB-019091,Resort Hotel,0,20,2023,December,49,6,2023-12-06,2,0,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,79.2,0,2
HB-046808,City Hotel,0,151,2024,January,3,19,2024-01-19,0,2,1,0.0,0,BB,POL,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,19.0,,63,Transient-Party,71.0,0,0
HB-053508,City Hotel,1,81,2024,June,25,23,2024-06-23,0,1,1,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.9,0,0
HB-038085,Resort Hotel,0,159,2025,July,27,2,2025-07-02,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.0,,0,Transient,151.43,1,1
HB-043971,City Hotel,1,33,2023,September,39,26,2023-09-26,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,,0,Transient,57.92,0,1
HB-066157,City Hotel,1,236,2025,April,16,15,2025-04-15,0,1,2,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,D,5,No Deposit,9.0,,0,Transient,140.0,0,3
HB-092935,City Hotel,0,239,2024,July,28,12,2024-07-12,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,107.0,0,1
HB-058449,City Hotel,1,314,2024,October,41,12,2024-10-12,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,68,Transient,75.0,0,0
HB-046297,City Hotel,1,146,2023,December,52,29,2023-12-29,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,99,Transient-Party,85.0,0,0
HB-094420,City Hotel,0,193,2024,July,31,31,2024-07-31,2,2,2,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient-Party,72.25,0,1
HB-056115,City Hotel,1,68,2024,August,35,29,2024-08-29,1,3,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,159.3,0,0
HB-001098,Resort Hotel,0,0,2023,August,33,14,2023-08-14,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,,0,Transient,120.6,0,0
HB-011098,Resort Hotel,1,88,2025,April,16,18,2025-04-18,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,96.0,,0,Transient,72.0,0,1
HB-058292,City Hotel,1,131,2024,October,41,10,2024-10-10,1,0,1,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0,0
