problema_detectado,variable_afectada,decision_tomada,justificacion
Valores faltantes y alta diversidad,country,Revisar en etapa de transformación,"La variable presenta 101 valores faltantes y 129 países distintos. Los NA deben evaluarse para imputación o recodificación, y las categorías de baja frecuencia deben analizarse para decidir si se agrupan o se mantienen."
Categorías minoritarias y ambigüedad,market_segment,Revisar en etapa de transformación,"Existen categorías con muy baja frecuencia (Aviation, Complementary). Se evaluará si conviene agruparlas o recodificarlas."
Categorías minoritarias y solapamiento con market_segment,distribution_channel,Revisar en etapa de transformación,La categoría 'Other' tiene muy baja frecuencia y TA/TO mezcla agencias y operadores turisticos. Se debe revisar redundancia con market_segment.
Ninguno (variable consistente),is_repeated_guest,Conservar sin modificaciones,Presenta 100% de completitud (0 valores faltantes) sin valores anómalos ni fuera de rango. Se conserva sin cambios.
Variable completa pero con distribucion asimetrica,previous_cancellations,Revisar en etapa de transformación,La mayoría de los valores son 0 y existen valores altos (10–26) que podrían ser casos excepcionales o errores. Se conserva la variable completa pero se evaluará si conviene agruparlos
Desbalance y valores extremos,previous_bookings_not_canceled,Revisar en etapa de transformación,La mayoría de los valores son 0 y existen valores muy altos (hasta 66) que podrían ser casos excepcionales o errores. Se evaluará si conviene agruparlos.
Categorías de muy baja frecuencia y fuerte desbalance,reserved_room_type,Revisar en etapa de transformación,La mayoría de los registros son tipo A y existen Categorias con muy bajo porcentaje y una categoría extremadamente rara (L) que podrían requerir agrupación.
Categorías con muy pocos valores y discrepancia con habitación reservada,assigned_room_type,Revisar en etapa de transformación,"Presenta 100% de completitud pero introduce categorías ausentes en reserved_room_type (I, K) con frecuencias muy bajas. Se conserva y se evaluará agrupar categorías minoritarias o analizar los cambios de habitación en transformación."
Desbalance y valores extremos,booking_changes,Revisar en etapa de transformación,La mayoría de los valores son 0 y existen valores altos (hasta 14) que podrían ser casos excepcionales o errores. Se evaluará si conviene agruparlos o recortarlos. Tambien es posible agruparlos en un binario como por ejemplo hubo_cambio
Desbalance extremo en categorías,deposit_type,Revisar en etapa de transformación,"La mayoría de los registros son No Deposit y Refundable tiene frecuencia muy baja, podría requerir agrupación."
Variable administrativa con posible influencia en cancelaciones,agent,"Mantener para análisis, revisar valores faltantes","Aunque es un identificador interno y tiene valores faltantes, Se debe agrupar en la etapa de transformacion, puede permitir evaluar si la presencia de un agente se relaciona con la probabilidad de cancelación."
Valores faltantes (94.34%),company,Imputar nulos con 0,"Los 23.384 nulos representan reservas particulares sin intermediación corporativa. Se imputan con 0 para representar que no tiene empresa. Se evaluará en transformación su reemplazo por una variable binaria, espcificando si tiene o no compañia el huesped (has_company)."
Distribución asimétrica con valores extremos,days_in_waiting_list,Revisar en la próxima fase,"La variable es completa y válida, pero presenta numerosos valores atípicos detectados. Evaluar en la siguiente fase estos Outliers. Además,evaluar si el tiempo de espera en lista podría estar relacionado con la cancelación de la reserva"
Distribución muy concentrada en clientes Transient y presencia de categorías con baja frecuencia,customer_type,Revisar en la próxima fase,"La variable es completa y válida, pero presenta una fuerte concentración en clientes individuales. Se pueden agrupar las variables que tienen menos frecuencias. Se evaluará si el tipo de cliente influye en la tasa de cancelación, ya que podría aportar información relevante para el análisis del comportamiento de reservas."
Presencia de valor negativo,adr,Eliminar el registro con adr < 0 y conservar valores iguales a 0 y outliers válidos,Se eliminó 1 registro con valor negativo (-6.38) por error de carga o reversión contable. Se conservan los 244 registros con adr == 0 (cortesías comerciales legítimas) y los valores elevados hasta 510.0 por tratarse de tarifas plausibles para suites o alta demanda.
Distribución extremadamente desbalanceada y baja variabilidad,required_car_parking_spaces,Revisar si es útil para el analisis de cancelaciones,"La variable es completa y válida, pero está fuertemente concentrada en 0 y presenta muy poca variabilidad. Se evaluará en la próxima fase convertir a una variable binaria (`has_parking_space`) ."
Distribución asimétrica con detección de outliers estadísticos en valores altos (3 a 5),total_of_special_requests,Conservar intacta en curación; evaluar tratamiento en transformación,Presenta 100% de completitud y valores discretos válidos [0 a 5]. Se preserva sin modificaciones. Evaluar transfomacion a variable binaria u ordinal de solicitudes
Variable administrativa con posible influencia en cancelaciones,agent,"Mantener para análisis, revisar valores faltantes","Aunque es un identificador interno y tiene valores faltantes, Se debe agrupar en la etapa de transformacion, puede permitir evaluar si la presencia de un agente se relaciona con la probabilidad de cancelación."
Valores faltantes (94.34%),company,Imputar nulos con 0,"Los 23.384 nulos representan reservas particulares sin intermediación corporativa. Se imputan con 0 para representar que no tiene empresa. Se evaluará en transformación su reemplazo por una variable binaria, espcificando si tiene o no compañia el huesped (has_company)."
Distribución asimétrica con valores extremos,days_in_waiting_list,Revisar en la próxima fase,"La variable es completa y válida, pero presenta numerosos valores atípicos detectados. Evaluar en la siguiente fase estos Outliers. Además,evaluar si el tiempo de espera en lista podría estar relacionado con la cancelación de la reserva"
Distribución muy concentrada en clientes Transient y presencia de categorías con baja frecuencia,customer_type,Revisar en la próxima fase,"La variable es completa y válida, pero presenta una fuerte concentración en clientes individuales. Se pueden agrupar las variables que tienen menos frecuencias. Se evaluará si el tipo de cliente influye en la tasa de cancelación, ya que podría aportar información relevante para el análisis del comportamiento de reservas."
Presencia de valor negativo,adr,Eliminar el registro con adr < 0 y conservar valores iguales a 0 y outliers válidos,Se eliminó 1 registro con valor negativo (-6.38) por error de carga o reversión contable. Se conservan los 244 registros con adr == 0 (cortesías comerciales legítimas) y los valores elevados hasta 510.0 por tratarse de tarifas plausibles para suites o alta demanda.
Distribución extremadamente desbalanceada y baja variabilidad,required_car_parking_spaces,Revisar si es útil para el analisis de cancelaciones,"La variable es completa y válida, pero está fuertemente concentrada en 0 y presenta muy poca variabilidad. Se evaluará en la próxima fase convertir a una variable binaria (`has_parking_space`) ."
Distribución asimétrica con detección de outliers estadísticos en valores altos (3 a 5),total_of_special_requests,Conservar intacta en curación; evaluar tratamiento en transformación,Presenta 100% de completitud y valores discretos válidos [0 a 5]. Se preserva sin modificaciones. Evaluar transfomacion a variable binaria u ordinal de solicitudes
Lead_time tiene muchos valores posibles y distribución sesgada,lead_time_segment,Se crea lead_time_segment mediante intervalos interpretables,"La discretización facilita comparar reservas inmediatas, de mediano plazo y anticipadas sin eliminar el valor original."
